qa_id,date,release_ref,area,test,evidence,expected,actual,result,owner,follow_up
QA-019,2026-08-16,chore/bella-seo-entity-facts,publishing_isolation,Unchanged 56-file publishing-isolation validation,"Unit tests, artifact build, verifier, manifest inventory, and exact deployed-SHA Git-blob comparison","Established Windows skips only; 56 public files remain byte-identical and .seo remains excluded","48 tests passed with 3 established Windows skips; clean LF artifact has 56 files and 65503575 bytes with zero mismatches to deployed SHA",pass,engineering,"Draft PR deploy job must remain skipped"
QA-020,2026-08-18,chore/bella-seo-priority-service-architecture,deployment_reconciliation,"PR #11 merge deployment and artifact parity","Connected GitHub PR/run/artifact reads plus public deployment API and exact Git commit parents","PR #11 is merged/deployed at 890ed5df7f001f754df5e79eeddcef14d88e5844 with workflow 32037331811 artifact 9291103287 deployment 5946162353 and 56 files","Exact merge identity and successful deployment verified; no open PR or active/queued run existed at branch creation",pass,seo_operations,"Retain as historical production evidence; this research branch is not released"
QA-021,2026-08-18,chore/bella-seo-priority-service-architecture,live_entity_local,"Live entity and local contract verification","Production GET/HEAD plus current source and PR #11 tests","Official address actionable contacts map title favicon OG/Twitter and one homepage Dentist entity are live; price has no JSON-LD; descriptions remain absent","Public routes and logo returned 200; internal routes and prospective page returned 404; source/visible fact parity tests passed",pass,seo_operations,"No browser QA is claimed for this .seo-only branch"
QA-022,2026-08-18,chore/bella-seo-priority-service-architecture,research_provenance,"Dated market query competitor and guidance collection","Twenty-two exact seed queries; eight expected first-party URLs; two weak directory samples; official Google AI/helpful-content and OpenAI crawler guidance","Every represented row has date market language/context source ownership classification and limitation; inaccessible URLs are explicit","22 search-demand rows 12 SERP rows 10 competitor rows and 16 new public-safe source records validated",pass,seo_operations,"Refresh dated samples before any later implementation if stale"
QA-023,2026-08-18,chore/bella-seo-priority-service-architecture,page_map,"Query locale and collision validation","Canonical query-page-map schema plus direct collision/status/file/sitemap checks","Exactly one Ukrainian prospective primary URL; no query collision; no Russian URL; page absent; sitemap absent; implementation blocked","One row maps імплантація зубів Кривий Ріг to /implantatsiia-zubiv.html at research_complete__implementation_blocked; ru observations have no mapping",pass,seo,"Bundled legacy page-map checker expects a deprecated incompatible header; canonical-schema direct validation passed"
QA-024,2026-08-18,chore/bella-seo-priority-service-architecture,competitor_classification,"First-party versus directory evidence validation","Revalidated owner pages and no more than two directory rows","First-party pages are distinct from third_party_directory__weak_evidence; no copied text or ranking guarantee","Eight expected first-party URLs recorded including one unavailable-at-collection row; two directory rows explicitly weak",pass,seo_operations,"Competitor claims prices and metrics are not Bella facts"
QA-025,2026-08-18,chore/bella-seo-priority-service-architecture,metrics,"No invented metric validation","Search-demand proprietary metric fields and narrative safety scan","Volume CPC difficulty traffic backlink conversion market-share and stable-rank claims remain absent","All 22 rows have metric_name metric_value match_type and database_date blank; repository safety scan passed",pass,seo_operations,"Numeric research requires a separately allowed authoritative provider/export"
QA-026,2026-08-18,chore/bella-seo-priority-service-architecture,content_governance,"Prospective page-brief gate validation","Blocked architecture brief and protected high-risk registers","No clinical answer claim doctor credential price approval asset approval or public-ready status; all fact copy reviewer asset CTA metadata Schema QA and authorization gates explicit","Brief remains research_complete__implementation_blocked; protected claims medical review author/reviewer and provenance files are unchanged",pass,seo_operations,"Qualified professional review and a new direct public implementation authorization remain required"
QA-027,2026-08-18,chore/bella-seo-priority-service-architecture,workspace,"Full 53-file format schema and public-safety validation","Strict UTF-8 LF final-newline no-BOM scan; JSON/YAML parse; CSV widths; operator/client validators; repository safety scan","Exactly 53 files: 2 JSON 13 YAML 29 CSV 9 Markdown; no unsupported keys/columns secrets private data other-tenant facts or unsupported approvals","All format parse schema authorization evidence asset and safety checks passed with zero findings",pass,seo_operations,"Re-run on the exact commit before push and reconcile the Draft head after creation"
QA-028,2026-08-18,chore/bella-seo-priority-service-architecture,publishing_isolation,"Unchanged 56-file public artifact validation","54-unit-test suite; build and verifier; exact origin/main Git-object byte comparison; manifest hash; public diff","Only three established Windows capability skips accepted; 56 public Git objects unchanged; .seo excluded; aggregate 3ee478233e604f88c4fa80edc8394f646ac067a808d42df78479d502a2c6c41d; manifest 0888f7c65e3e6cb1db0780f0f165c057c56dd5a9e49757d9b465a0b55df2609d","54 tests passed with 3 skips; build and verify reported 56 files; canonical Git-object aggregate and manifest match; zero public paths differ from origin/main",pass,engineering,"Windows checkout CRLF affects seven local working-tree artifact copies but not Git/deployed bytes; Draft PR deploy job must skip"
