query,language,market,intent,journey_stage,provider,metric_name,metric_value,match_type,database_date,collected_at,device,limitations
"стоматология Кривой Рог",ru,"Kryvyi Rih, Ukraine","generic local clinic cross-language observation",evaluate,"public search sample; https://likarni.com/kliniki/krivoj-rog/stomatology",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; Bella remains Ukrainian-only; no Russian URL; no stable rank or numeric demand metric"
"стоматологическая клиника Кривой Рог",ru,"Kryvyi Rih, Ukraine","generic local clinic cross-language observation",evaluate,"public search sample; https://villadent.com.ua/",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; Bella remains Ukrainian-only; no Russian URL; no stable rank or numeric demand metric"
"стоматолог Кривой Рог",ru,"Kryvyi Rih, Ukraine","doctor and local clinic cross-language observation",evaluate,"public search sample; https://doc.ua/doctors/krivoj-rog/all/stomatolog",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; directory/doctor intent observed; no Russian URL; no numeric demand metric"
"лечение зубов Кривой Рог",ru,"Kryvyi Rih, Ukraine","treatment service cross-language observation",evaluate,"public search sample; https://villadent.com.ua/ru/likuvannya-zubiv",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; no Russian Bella architecture; unmapped/deferred; no stable rank or numeric metric"
"имплантация зубов Кривой Рог",ru,"Kryvyi Rih, Ukraine","implantation service cross-language observation",evaluate,"public search sample; https://villadent.com.ua/ru/implantaciya",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; ru_intent_observed__no_ru_architecture_approved; no Russian URL; no stable rank or numeric metric"
"ортодонт Кривой Рог",ru,"Kryvyi Rih, Ukraine","doctor/expert cross-language observation",evaluate,"public search sample; https://doc.ua/doctors/krivoj-rog/all/ortodont",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; no Russian Bella architecture; unmapped/deferred; no numeric metric"
"брекеты Кривой Рог",ru,"Kryvyi Rih, Ukraine","braces service and price cross-language observation",evaluate,"public search sample; https://barb.ua/krivoy-rog/med/stomatologiya/ortodontiya/brekety",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; no Russian Bella architecture; unmapped/deferred; no numeric metric"
"детский стоматолог Кривой Рог",ru,"Kryvyi Rih, Ukraine","pediatric doctor/service cross-language observation",evaluate,"public search sample; https://familydentalcenter.com.ua/uslugi/denskaya-stomatologiya",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; Bella pediatric offering is not page-ready; no Russian URL or numeric metric"
"профессиональная чистка зубов Кривой Рог",ru,"Kryvyi Rih, Ukraine","professional cleaning cross-language observation",evaluate,"public search sample; https://doc.ua/ua/uslugi/krivoj-rog/all/stomatologia/professionalnaya-chistka-zubov",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; results were noisy and location/account context unknown; no Russian URL or numeric metric"
"удаление зуба Кривой Рог",ru,"Kryvyi Rih, Ukraine","tooth extraction cross-language observation",evaluate,"public search sample; https://villadent.com.ua/ru/vidalennya",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; no Russian Bella architecture; unmapped/deferred; no numeric metric"
"протезирование зубов Кривой Рог",ru,"Kryvyi Rih, Ukraine","prosthetics service cross-language observation",evaluate,"public search sample; https://villadent.com.ua/ru/protezirovanie",,,,,2026-08-18T06:23:55Z,unknown,"Qualitative market observation only; no Russian Bella architecture; unmapped/deferred; no numeric metric"
